MSH	name
MSH/D013313	Post-Traumatic Stress Disorder
MSH/D011293	Premenstrual syndrome
MSH/D009980	influenza A virus
MSH/D009181	Mycoses
MSH/D009369	Malignant Neoplasms
MSH/D002292	Renal Cell Carcinoma
MSH/D018805	Septicemia
MSH/D009133	Muscular Atrophy
MSH/D015179	Colorectal Neoplasms
MSH/D017379	Left Ventricular Hypertrophy
MSH/D003930	Diabetic Retinopathy
MSH/D007006	Hypogonadism
MSH/D005770	Gastrointestinal Neoplasms
MSH/D012628	Seborrheic dermatitis
MSH/D007169	Impetigo
MSH/D008228	Lymphoma, Non-Hodgkin
MSH/D015451	Chronic Lymphocytic Leukemia
MSH/D014549	Urinary Incontinence
MSH/D014947	Injury wounds
MSH/D015212	Inflammatory Bowel Diseases
MSH/D050171	Dyslipidemias
MSH/D018589	Gastroparesis
MSH/D010146	Pain
MSH/D007249	Inflammation
MSH/D009765	Obesity
MSH/D003371	Coughing
MSH/D006526	Hepatitis C
MSH/D002546	Transient Ischemic Attack
MSH/D020521	Cerebrovascular accident
MSH/D002100	Cachexia
MSH/D061686	Premature Ejaculation
MSH/D024821	Metabolic Syndrome X
MSH/D015663	Osteoporosis, Postmenopausal
MSH/D010003	Degenerative polyarthritis
MSH/D001281	Atrial Fibrillation
MSH/D002318	Cardiovascular Diseases
MSH/D001145	Cardiac Arrhythmia
MSH/D003424	Crohn Disease
MSH/D003072	Cognition Disorders
MSH/D003250	Constriction procedure
MSH/D002289	Non-Small Cell Lung Carcinoma
MSH/D000505	Alopecia
MSH/D003092	Colitis
MSH/D014456	Ulcer
MSH/D008224	Lymphoma, Follicular
MSH/D010051	Malignant neoplasm of ovary
MSH/D065768	Lennox-Gastaut syndrome
MSH/D003920	Diabetes Mellitus
MSH/D057765	Eosinophilic esophagitis
MSH/D020953	Aspergillosis, Nervous System Invasive
MSH/D009091	Mucormycosis
MSH/D005902	Glaucoma, Open-Angle
MSH/D009798	Ocular Hypertension
MSH/D013274	Malignant neoplasm of stomach
MSH/D007951	Myeloid Leukemia
MSH/D009101	Multiple Myeloma
MSH/D009190	MYELODYSPLASTIC SYNDROME
MSH/D008545	melanoma
MSH/D004194	Disease
MSH/D012509	Sarcoma
MSH/D003704	Dementia
MSH/D015535	Arthritis, Psoriatic
MSH/D012120	Respiration Disorders
MSH/D014435	Typhoid Fever
MSH/D000740	Anemia
MSH/D014652	Vascular Diseases
MSH/D006816	Huntington Disease
MSH/D007752	Premature Obstetric Labor
MSH/D003550	Cystic Fibrosis
MSH/D057092	Geographic Atrophy
MSH/D009437	Neuralgia
MSH/D006945	Hyperhidrosis disorder
MSH/D003233	Allergic Conjunctivitis
MSH/D006562	Herpes zoster disease
MSH/D017681	Hypereosinophilic syndrome
MSH/D005490	Focal Infection
MSH/D002780	Intrahepatic Cholestasis
MSH/D001851	Osteopenia
MSH/D006528	Liver carcinoma
MSH/D001289	Attention deficit hyperactivity disorder
MSH/D005767	Gastrointestinal Diseases
MSH/D012164	Retinal Diseases
MSH/D006473	Postpartum Hemorrhage
MSH/D065631	Allergic rhinitis (disorder)
MSH/D013167	Ankylosing spondylitis
MSH/D003324	Coronary Artery Disease
MSH/D000686	Amyloidosis
MSH/D018357	Respiratory Syncytial Virus Infections
MSH/D014376	Tuberculosis
MSH/D001987	Bronchiectasis
MSH/D014570	Urologic Diseases
MSH/D001943	Malignant neoplasm of breast
MSH/D053201	Overactive Detrusor
MSH/D012764	Shigella sonnei
MSH/D015470	Leukemia, Myelocytic, Acute
MSH/D013203	Staphylococcal Infections
MSH/D054990	Idiopathic Pulmonary Fibrosis
MSH/D058365	Invasive Candidiasis
MSH/D016553	Immune thrombocytopenic purpura
MSH/D012871	Dermatologic disorders
MSH/D006069	Gonorrhea
MSH/D000163	Acquired Immunodeficiency Syndrome
MSH/D012595	Systemic Scleroderma
MSH/D011654	Pulmonary Edema
MSH/D002779	Cholestasis
MSH/D006976	Pulmonary Hypertension
MSH/D009362	Neoplasm Metastasis
MSH/D003015	Clostridium difficile infection
MSH/D043183	Irritable Bowel Syndrome
MSH/D014657	Vasculitis
MSH/D001327	Autoimmune Diseases
MSH/D004405	Dysentery, Bacillary
MSH/D014777	Virus Diseases
MSH/D000081029	Pulmonary arterial hypertension
MSH/D064420	Adverse reaction to drug
MSH/D005334	Fever
MSH/D007945	Lymphoid leukemia
MSH/D013292	Streptococcus agalactiae
MSH/D018288	Carcinoma, Small Cell
MSH/D020522	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
MSH/D004485	Eczema
MSH/D008415	Mastocytosis
MSH/D018268	Adrenocortical carcinoma
MSH/D004715	Endometriosis
MSH/D001171	Juvenile arthritis
MSH/D005211	Fascioliasis
MSH/D014123	Toxoplasmosis
MSH/D003928	Diabetic Nephropathy
MSH/D003248	Constipation
MSH/D009128	Muscle Spasticity
MSH/D000072742	Invasive Fungal Infections
MSH/D014077	Tooth Erosion
MSH/D055728	Primary Myelofibrosis
MSH/D000270	Adie Syndrome
MSH/D012128	Respiratory Distress Syndrome, Adult
MSH/D018290	Cervical Intraepithelial Neoplasia
MSH/D009157	Myasthenia Gravis
MSH/D003807	Dentin Sensitivity
MSH/D009134	Spinal Muscular Atrophy
MSH/D064726	Triple Negative Breast Neoplasms
MSH/D018358	Neuroendocrine Tumors
MSH/D008268	Macular degeneration
MSH/D006009	Glycogen storage disease type II
MSH/D000755	Anemia, Sickle Cell
MSH/D002276	Carcinoid Tumor
MSH/D014581	Urticaria
MSH/D003781	Denture Retention
MSH/D010195	Pancreatitis
MSH/D008581	Meningitis
MSH/D002277	Carcinoma
MSH/D025241	Spondylarthritis
MSH/D006937	Hypercholesterolemia
MSH/D012178	Retinopathy of Prematurity
MSH/D008181	Lupus Nephritis
MSH/D006086	Graft-vs-Host Disease
